airline,flight_num,origin_airport,dest_airport,month,day_of_month,day_of_week,dep_time,arr_time,dep_delay,arr_delay,distance,air_time,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,is_delayed
AS,1572,ATL,LGA,3,19,6,839,1139,9.411059255733067,9.411059255733067,1826,180,0.0,0.0,0.0,0.0,0.0,0
WN,8313,ORD,SEA,3,5,7,2093,31,0.0,29.291544962391814,1818,178,16.52441587523169,0.0,12.767129087160125,0.0,0.0,1
AA,9143,CLT,DEN,3,23,2,1056,1247,13.430811810665208,13.430811810665208,1088,111,0.0,0.0,0.0,0.0,0.0,0
AA,4262,LAS,MCO,11,13,1,1784,2126,14.261584234740912,14.261584234740912,1700,182,0.0,0.0,0.0,0.0,0.0,0
US,8245,ATL,DFW,10,21,2,715,1143,9.316480524119214,9.316480524119214,2390,268,0.0,0.0,0.0,0.0,0.0,0
UA,4820,SEA,LGA,7,2,3,1484,1620,0.0,0.0,694,56,0.0,0.0,0.0,0.0,0.0,0
DL,4268,PHL,MIA,10,23,5,351,628,0.0,0.0,1666,157,0.0,0.0,0.0,0.0,0.0,0
UA,6014,EWR,JFK,5,28,3,1522,1955,0.0,0.0,2501,273,0.0,0.0,0.0,0.0,0.0,0
AS,5208,PHL,BOS,4,9,5,1869,12,0.6125196732235967,0.6125196732235967,2918,303,0.0,0.0,0.0,0.0,0.0,0
NK,7211,FLL,ATL,3,8,1,507,804,0.0,0.0,1813,177,0.0,0.0,0.0,0.0,0.0,0
US,2283,JFK,EWR,8,27,2,2050,2215,3.8998015102644663,3.8998015102644663,1073,85,0.0,0.0,0.0,0.0,0.0,0
US,4797,ATL,DTW,5,7,2,1291,1719,7.772588436232813,7.772588436232813,2623,228,0.0,0.0,0.0,0.0,0.0,0
B6,7365,LAS,MSP,10,12,2,1792,1902,2.6402549804116457,2.6402549804116457,465,30,0.0,0.0,0.0,0.0,0.0,0
NK,6106,LAS,EWR,12,18,2,1080,1554,29.150174107195152,29.150174107195152,2307,274,0.0,0.0,0.0,0.0,0.0,1
B6,9238,SEA,DTW,3,9,2,919,1006,0.0,0.0,283,47,0.0,0.0,0.0,0.0,0.0,0
US,5980,DEN,MIA,7,2,4,1662,1753,0.0,0.0,434,51,0.0,0.0,0.0,0.0,0.0,0
NK,1580,EWR,JFK,2,12,6,1552,1802,19.535074014975745,19.535074014975745,1327,130,0.0,0.0,0.0,0.0,0.0,1
NK,2403,JFK,LGA,9,15,6,2076,2258,35.608900600680826,35.608900600680826,1115,102,0.0,0.0,0.0,0.0,0.0,1
F9,4219,BOS,LGA,10,15,2,203,233,35.92289331447514,35.92289331447514,588,30,0.0,0.0,0.0,0.0,0.0,1
F9,9324,LAS,PHL,1,25,7,489,604,5.2121515763636275,5.2121515763636275,261,35,0.0,0.0,0.0,0.0,0.0,0
US,5572,ATL,EWR,3,22,3,2135,2321,27.013355306366506,30.785385380040967,1325,106,0.0,0.0,3.7720300736744603,0.0,0.0,1
HA,4976,SFO,LGA,2,28,7,285,816,9.513119521792383,33.35977756858587,2639,291,0.0,0.0,0.0,0.0,23.846658046793486,1
WN,9052,SFO,PHX,7,7,6,2128,2158,32.79697308624007,32.79697308624007,205,30,0.0,0.0,0.0,0.0,0.0,1
WN,2189,CLT,CLT,2,23,5,2015,2,15.808986414788661,15.808986414788661,2515,227,0.0,0.0,0.0,0.0,0.0,1
US,726,FLL,LGA,7,7,6,1899,2018,11.781032528504241,11.781032528504241,734,39,0.0,0.0,0.0,0.0,0.0,0
US,1790,SFO,CLT,4,17,7,910,941,34.354112987435684,34.354112987435684,693,31,0.0,0.0,0.0,0.0,0.0,1
AA,2353,MCO,PHX,8,19,2,916,957,0.0,0.0,589,41,0.0,0.0,0.0,0.0,0.0,0
US,9551,LGA,DTW,5,21,2,1273,1740,19.040793938061967,19.040793938061967,2589,267,0.0,0.0,0.0,0.0,0.0,1
UA,1530,LGA,MIA,6,3,3,361,646,22.0311952622903,22.0311952622903,1715,165,0.0,0.0,0.0,0.0,0.0,1
US,4949,BOS,LAX,9,8,6,149,339,26.76955611782003,41.957620211562975,1190,110,0.0,0.0,0.0,0.0,15.188064093742943,1
NK,5457,SEA,LAX,8,7,2,2042,2208,18.54091722243593,18.54091722243593,838,86,0.0,0.0,0.0,0.0,0.0,1
AA,7008,DEN,SEA,12,25,4,2273,140,0.0,3.498094876719931,1389,147,3.498094876719931,0.0,0.0,0.0,0.0,0
HA,6066,ORD,JFK,10,9,7,1706,1843,21.452463630910977,21.452463630910977,1047,97,0.0,0.0,0.0,0.0,0.0,1
AA,879,DTW,EWR,3,25,1,397,741,32.35638019114007,32.35638019114007,1886,184,0.0,0.0,0.0,0.0,0.0,1
DL,673,FLL,DFW,6,10,2,1288,1522,16.1823187102624,16.1823187102624,1205,114,0.0,0.0,0.0,0.0,0.0,1
WN,9113,PHX,LAS,1,15,3,1635,1822,15.8495088399767,15.8495088399767,1407,107,0.0,0.0,0.0,0.0,0.0,1
F9,9860,DEN,EWR,4,10,1,819,1109,23.449455392049646,82.54718436800506,1497,170,0.0,0.0,0.0,59.09772897595542,0.0,1
B6,5486,LAX,FLL,12,16,3,868,1305,27.87829353818443,27.87829353818443,2350,237,0.0,0.0,0.0,0.0,0.0,1
DL,4969,LAS,CLT,12,5,7,1149,1336,29.06433944264701,29.06433944264701,1213,107,0.0,0.0,0.0,0.0,0.0,1
DL,575,CLT,BOS,10,15,5,11,228,23.346625689979074,28.057608856340174,1152,137,0.0,0.0,4.7109831663611015,0.0,0.0,1
AS,5537,JFK,ORD,3,15,4,496,827,20.789805234135354,20.789805234135354,1132,171,0.0,0.0,0.0,0.0,0.0,1
HA,9920,MCO,LAX,7,26,6,2339,121,19.946163575105544,19.946163575105544,962,102,0.0,0.0,0.0,0.0,0.0,1
DL,6302,LAX,PHL,12,3,4,2103,206,0.0,0.0,2759,303,0.0,0.0,0.0,0.0,0.0,0
NK,5359,MIA,ATL,9,6,3,1896,2006,20.70391316973368,20.70391316973368,117,30,0.0,0.0,0.0,0.0,0.0,1
US,1204,LAS,DFW,11,16,5,634,704,0.0,0.0,129,30,0.0,0.0,0.0,0.0,0.0,0
DL,1303,CLT,LGA,11,2,6,457,559,18.98469842827479,18.98469842827479,617,62,0.0,0.0,0.0,0.0,0.0,1
US,9241,FLL,SFO,1,13,6,130,200,0.0,0.0,350,30,0.0,0.0,0.0,0.0,0.0,0
WN,6521,PHX,LAS,3,14,3,344,651,8.636800900611826,8.636800900611826,1727,187,0.0,0.0,0.0,0.0,0.0,0
AS,4520,SEA,PHL,8,6,6,1929,2339,20.433578318491683,20.433578318491683,2501,250,0.0,0.0,0.0,0.0,0.0,1
AS,5849,BOS,MIA,8,15,6,394,621,0.0,5.835669177370384,1184,107,0.0,0.0,5.835669177370384,0.0,0.0,0
B6,4938,SEA,LAS,5,21,2,1456,1924,3.746692590419145,3.746692590419145,2895,268,0.0,0.0,0.0,0.0,0.0,0
UA,8857,MIA,MIA,3,18,3,1362,1843,3.976139286780981,3.976139286780981,2685,281,0.0,0.0,0.0,0.0,0.0,0
AS,4682,LAS,MIA,8,2,1,430,741,0.0,0.0,1809,191,0.0,0.0,0.0,0.0,0.0,0
UA,5161,EWR,SFO,10,23,3,58,342,0.0,0.0,1149,164,0.0,0.0,0.0,0.0,0.0,0
HA,9300,LAS,LGA,3,24,2,1406,1833,0.0,0.0,2819,267,0.0,0.0,0.0,0.0,0.0,0
HA,7674,PHL,JFK,12,19,3,337,455,25.405136070028057,26.841712829481505,867,78,1.4365767594534469,0.0,0.0,0.0,0.0,1
B6,1857,LAX,PHX,11,21,7,428,605,0.0,0.0,1506,97,0.0,0.0,0.0,0.0,0.0,0
AA,7346,DFW,FLL,9,28,1,1471,1657,0.0,0.0,1252,106,0.0,0.0,0.0,0.0,0.0,0
WN,8488,MSP,PHL,12,25,1,2235,22,0.0,0.0,1125,107,0.0,0.0,0.0,0.0,0.0,0
AS,4392,CLT,LAS,4,6,6,445,554,0.0,0.0,825,69,0.0,0.0,0.0,0.0,0.0,0
DL,7278,EWR,MCO,12,3,3,211,629,12.627629081090603,12.627629081090603,2507,258,0.0,0.0,0.0,0.0,0.0,0
US,2248,PHX,LAX,1,19,3,1376,1606,12.77124020830054,37.862371083358994,1290,110,0.0,0.0,0.0,0.0,25.091130875058454,1
WN,4893,CLT,LAS,12,22,1,447,850,6.243516987965064,6.243516987965064,2568,243,0.0,0.0,0.0,0.0,0.0,0
HA,1439,BOS,FLL,9,10,5,1373,1706,47.83130876198836,47.83130876198836,1894,173,0.0,0.0,0.0,0.0,0.0,1
UA,5460,SEA,LAX,4,6,6,1111,1444,11.746224643979113,17.475690619310384,2163,213,0.0,0.0,0.0,0.0,5.729465975331273,1
UA,8428,SEA,DFW,8,15,6,1779,2151,0.0,0.0,2250,212,0.0,0.0,0.0,0.0,0.0,0
DL,7561,MIA,DTW,11,27,6,585,802,24.31898198474343,69.26424342798921,995,97,0.0,0.0,9.218579189863403,35.72668225338238,0.0,1
AA,9669,BOS,ORD,9,7,2,758,1014,32.59571798108881,32.59571798108881,1368,136,0.0,0.0,0.0,0.0,0.0,1
DL,6807,EWR,SEA,9,6,3,1610,1913,8.443789339448461,8.443789339448461,1975,183,0.0,0.0,0.0,0.0,0.0,0
F9,8442,PHX,JFK,7,16,5,844,1046,12.659787533865268,12.659787533865268,1204,122,0.0,0.0,0.0,0.0,0.0,0
US,1400,ATL,SFO,7,17,3,1907,2045,37.20734316111263,37.20734316111263,744,98,0.0,0.0,0.0,0.0,0.0,1
B6,6560,ORD,ORD,1,22,1,1691,1835,37.31612721709898,37.31612721709898,788,64,0.0,0.0,0.0,0.0,0.0,1
AS,5801,DEN,LAS,5,27,7,1392,1508,0.0,4.074691735251887,312,36,0.0,0.0,4.074691735251887,0.0,0.0,0
HA,1755,ORD,FLL,3,21,1,1132,1202,0.0,16.43188201382883,119,30,0.0,16.43188201382883,0.0,0.0,0.0,1
F9,9021,DEN,ATL,5,19,1,972,1502,26.492161991681975,41.07280814928841,2892,290,0.0,0.0,0.0,0.0,14.580646157606438,1
AA,2450,EWR,EWR,1,19,7,2340,233,13.373927002963324,13.373927002963324,1623,173,0.0,0.0,0.0,0.0,0.0,0
US,6107,DFW,EWR,12,27,2,2091,214,18.067912298697657,40.45580824512223,2814,283,0.0,22.387895946424567,0.0,0.0,0.0,1
DL,482,PHX,JFK,4,16,1,1788,2228,24.961284028010947,24.961284028010947,2351,240,0.0,0.0,0.0,0.0,0.0,1
AS,2883,JFK,LAS,5,25,2,933,1202,0.0,0.0,1489,149,0.0,0.0,0.0,0.0,0.0,0
UA,264,MSP,MIA,6,12,1,1475,1637,30.928250730649047,30.928250730649047,888,82,0.0,0.0,0.0,0.0,0.0,1
AA,9336,FLL,LGA,7,22,1,564,807,40.96312078040266,40.96312078040266,1114,123,0.0,0.0,0.0,0.0,0.0,1
AS,5391,MCO,FLL,3,27,1,1479,1837,31.10638939823931,31.10638939823931,1799,198,0.0,0.0,0.0,0.0,0.0,1
HA,8200,CLT,DFW,12,6,7,10,339,0.0,0.0,2401,209,0.0,0.0,0.0,0.0,0.0,0
DL,4708,SFO,FLL,4,5,3,2155,9,0.0,28.24122656562649,1270,134,0.0,0.0,0.0,0.0,28.24122656562649,1
WN,2177,FLL,LAS,5,2,7,1534,1718,5.249843880985931,5.249843880985931,1221,104,0.0,0.0,0.0,0.0,0.0,0
NK,9994,DTW,BOS,4,25,2,114,226,0.0,6.509006809911998,945,72,0.0,0.0,0.0,0.0,6.509006809911998,0
HA,3058,MCO,PHL,8,1,7,1428,1633,0.0,0.0,1261,125,0.0,0.0,0.0,0.0,0.0,0
DL,6021,DEN,LAX,10,7,2,536,828,0.0,0.0,1655,172,0.0,0.0,0.0,0.0,0.0,0
AA,7541,MCO,MIA,1,15,7,720,1221,13.479859354111785,13.479859354111785,2995,301,0.0,0.0,0.0,0.0,0.0,0
HA,2268,MSP,SEA,6,25,3,2265,48,15.04876892604723,19.679396350405707,1199,103,0.0,0.0,4.630627424358477,0.0,0.0,1
NK,180,ATL,FLL,12,24,2,779,1048,0.0,0.0,1432,149,0.0,0.0,0.0,0.0,0.0,0
F9,7986,MIA,EWR,3,18,1,311,355,0.0,0.0,296,44,0.0,0.0,0.0,0.0,0.0,0
B6,3900,LAX,MCO,4,15,5,809,930,38.967982933015094,38.967982933015094,520,81,0.0,0.0,0.0,0.0,0.0,1
AS,7750,PHL,PHX,8,26,2,1885,2056,0.0,0.0,910,91,0.0,0.0,0.0,0.0,0.0,0
WN,2868,ORD,JFK,1,19,7,840,955,1.8409094004346471,1.8409094004346471,763,75,0.0,0.0,0.0,0.0,0.0,0
UA,8858,DTW,JFK,2,9,3,1404,1837,1.7775695963033495,3.7805268951729154,2420,273,0.0,0.0,2.002957298869566,0.0,0.0,0
AA,2218,DFW,EWR,10,1,1,184,716,11.525268656251967,11.525268656251967,2700,292,0.0,0.0,0.0,0.0,0.0,0
DL,1533,LAS,PHL,12,23,5,1334,1601,47.08785773630588,47.08785773630588,1307,147,0.0,0.0,0.0,0.0,0.0,1
HA,1007,SFO,PHX,3,1,4,185,333,0.0,0.0,935,68,0.0,0.0,0.0,0.0,0.0,0
UA,5718,DTW,LAS,2,10,2,893,1017,0.0,0.0,437,44,0.0,0.0,0.0,0.0,0.0,0
AA,5567,LAS,ORD,12,23,7,1151,1526,1.9981621991502951,1.9981621991502951,1977,215,0.0,0.0,0.0,0.0,0.0,0
NK,8259,ATL,DFW,12,5,4,1887,30,11.145623123022908,11.145623123022908,2551,303,0.0,0.0,0.0,0.0,0.0,0
WN,8772,DEN,ATL,12,11,5,1123,1205,30.682842619175116,30.682842619175116,510,42,0.0,0.0,0.0,0.0,0.0,1
WN,1742,SEA,ATL,7,25,4,2282,359,13.700760310703691,13.700760310703691,2535,277,0.0,0.0,0.0,0.0,0.0,0
HA,5109,PHL,DFW,12,23,1,1111,1141,1.0667744254080418,1.0667744254080418,219,30,0.0,0.0,0.0,0.0,0.0,0
NK,5712,BOS,MSP,10,21,7,438,740,22.75615884586847,22.75615884586847,2093,182,0.0,0.0,0.0,0.0,0.0,1
F9,5342,LAX,PHL,8,4,3,769,921,14.895985594300893,14.895985594300893,526,72,0.0,0.0,0.0,0.0,0.0,0
UA,2917,PHX,JFK,11,12,7,377,741,17.382602832168565,17.382602832168565,2332,204,0.0,0.0,0.0,0.0,0.0,1
NK,6120,JFK,SEA,2,26,7,2280,2350,7.493452952646352,7.493452952646352,136,30,0.0,0.0,0.0,0.0,0.0,0
DL,8439,MIA,DEN,10,12,7,481,744,22.66380537790024,22.66380537790024,1216,143,0.0,0.0,0.0,0.0,0.0,1
DL,8187,SEA,ATL,10,19,3,930,1305,0.0,0.0,2283,215,0.0,0.0,0.0,0.0,0.0,0
HA,8037,DTW,PHL,8,3,4,958,1251,0.0,3.7291818826134193,1779,173,3.7291818826134193,0.0,0.0,0.0,0.0,0
NK,9215,PHL,PHX,1,27,5,227,528,0.0,0.0,1956,181,0.0,0.0,0.0,0.0,0.0,0
AA,241,CLT,SFO,5,6,4,2087,2235,0.0,10.461146126180868,782,68,0.0,0.0,0.0,0.0,10.461146126180868,0
HA,8822,DEN,FLL,4,7,7,1690,1800,14.731166661486277,14.731166661486277,394,30,0.0,0.0,0.0,0.0,0.0,0
AA,273,CLT,PHL,12,27,2,468,652,16.14003106835573,16.14003106835573,1230,104,0.0,0.0,0.0,0.0,0.0,1
HA,7145,SFO,ORD,12,24,1,1840,2111,15.046382639207609,15.046382639207609,1234,151,0.0,0.0,0.0,0.0,0.0,1
UA,9155,ORD,EWR,1,5,2,1552,1646,16.29332229285896,16.29332229285896,486,54,0.0,0.0,0.0,0.0,0.0,1
WN,9151,LGA,BOS,12,8,6,66,225,32.8938342611215,32.8938342611215,920,79,0.0,0.0,0.0,0.0,0.0,1
UA,795,PHL,SFO,1,25,1,1007,1037,19.197881053129265,19.197881053129265,280,30,0.0,0.0,0.0,0.0,0.0,1
NK,1497,MCO,PHX,12,23,6,491,950,28.94055617306634,54.050271505601245,2795,259,0.0,0.0,0.0,25.109715332534904,0.0,1
F9,178,DEN,PHL,8,23,5,1933,2230,3.2349302476625255,3.2349302476625255,1674,177,0.0,0.0,0.0,0.0,0.0,0
AS,8002,MIA,EWR,3,3,2,961,1533,31.74974406974962,31.74974406974962,2916,332,0.0,0.0,0.0,0.0,0.0,1
AS,8903,SEA,CLT,7,4,1,2004,2316,0.0,0.0,1738,192,0.0,0.0,0.0,0.0,0.0,0
AA,4669,ATL,DEN,3,13,4,1957,2202,0.22998058785365494,0.22998058785365494,903,125,0.0,0.0,0.0,0.0,0.0,0
US,4555,DFW,MIA,10,25,4,332,631,0.0,7.484112301438582,1778,179,0.0,0.0,7.484112301438582,0.0,0.0,0
AS,5749,FLL,ATL,12,25,1,1738,2056,1.7301975965267715,1.7301975965267715,1907,198,0.0,0.0,0.0,0.0,0.0,0
B6,5386,PHX,MIA,7,12,6,572,711,14.075608216705277,14.075608216705277,436,59,0.0,0.0,0.0,0.0,0.0,0
DL,1922,PHX,JFK,4,27,2,248,318,0.0,0.0,461,30,0.0,0.0,0.0,0.0,0.0,0
US,4635,BOS,DFW,5,25,1,205,401,0.0,0.0,1289,116,0.0,0.0,0.0,0.0,0.0,0
F9,3922,DTW,LAX,9,17,1,1677,2006,3.5704441257600115,3.5704441257600115,2023,169,0.0,0.0,0.0,0.0,0.0,0
US,4048,BOS,SEA,3,1,5,1947,2022,11.495625492471659,11.495625492471659,260,35,0.0,0.0,0.0,0.0,0.0,0
AS,4675,CLT,LGA,8,22,5,2095,150,0.0,0.0,2635,255,0.0,0.0,0.0,0.0,0.0,0
UA,2855,MCO,MCO,5,4,5,1748,2146,28.444910400020277,28.444910400020277,2596,238,0.0,0.0,0.0,0.0,0.0,1
B6,1745,LAX,LAX,1,27,1,761,1115,13.92839890794803,13.92839890794803,1988,194,0.0,0.0,0.0,0.0,0.0,0
HA,1597,MCO,DFW,11,2,5,212,316,3.558703280083514,3.558703280083514,768,64,0.0,0.0,0.0,0.0,0.0,0
HA,2689,BOS,PHX,10,19,7,1701,2133,9.143189445275537,16.39367862727086,2548,272,0.0,0.0,0.0,7.250489181995323,0.0,1
AA,3642,SFO,LGA,2,10,1,893,1102,9.957348688731997,9.957348688731997,732,89,0.0,0.0,0.0,0.0,0.0,0
HA,7601,PHX,DEN,4,9,6,1833,2304,39.37098433287878,39.37098433287878,2858,271,0.0,0.0,0.0,0.0,0.0,1
B6,2561,ORD,SEA,12,28,3,680,1124,0.45201833284913384,0.45201833284913384,2389,244,0.0,0.0,0.0,0.0,0.0,0
NK,1860,LGA,FLL,2,4,2,1574,1802,0.0,0.0,990,108,0.0,0.0,0.0,0.0,0.0,0
F9,5134,ATL,MSP,3,26,3,1022,1512,4.142154412518437,12.89250340073381,2901,290,0.0,0.0,8.750348988215373,0.0,0.0,0
AA,6478,ATL,DEN,11,5,6,404,911,45.2822537070459,45.2822537070459,2918,307,0.0,0.0,0.0,0.0,0.0,1
NK,4951,LAX,LAS,5,1,7,1902,2054,0.0,0.0,1063,112,0.0,0.0,0.0,0.0,0.0,0
UA,8551,FLL,LGA,4,12,1,624,708,42.528158010082386,48.28778754347479,378,44,5.759629533392404,0.0,0.0,0.0,0.0,1
DL,6223,JFK,DFW,7,20,7,1781,2200,15.470909679477572,15.470909679477572,2011,219,0.0,0.0,0.0,0.0,0.0,1
DL,3512,MCO,LAS,3,25,5,1709,2140,0.0,0.0,2868,271,0.0,0.0,0.0,0.0,0.0,0
NK,5486,MIA,SEA,8,7,1,1743,2039,3.2600929135539296,3.2600929135539296,1780,176,0.0,0.0,0.0,0.0,0.0,0
HA,1883,LAS,FLL,9,20,6,880,1313,0.0,0.0,2195,233,0.0,0.0,0.0,0.0,0.0,0
AA,4223,FLL,MIA,1,5,2,127,408,40.53818447052872,40.53818447052872,1421,161,0.0,0.0,0.0,0.0,0.0,1
HA,6730,DTW,DTW,4,20,6,2142,213,6.228093496348482,6.228093496348482,2720,271,0.0,0.0,0.0,0.0,0.0,0
AA,8759,CLT,PHL,9,18,6,1216,1800,21.84201906436932,27.28790581339648,2963,344,5.445886749027161,0.0,0.0,0.0,0.0,1
WN,706,MIA,MIA,7,20,5,1847,1949,17.25672886897233,42.84073841764304,1010,62,25.58400954867071,0.0,0.0,0.0,0.0,1
AA,5356,ATL,CLT,5,14,5,2299,100,26.030695711040195,26.030695711040195,582,81,0.0,0.0,0.0,0.0,0.0,1
B6,6147,SEA,MSP,6,25,4,496,606,0.0,11.114468059896202,296,30,0.0,0.0,0.0,11.114468059896202,0.0,0
B6,7746,LAX,PHX,1,4,3,2145,247,1.6237995341588949,1.6237995341588949,2576,302,0.0,0.0,0.0,0.0,0.0,0
AA,6528,DTW,LGA,1,17,7,719,751,12.397733778780669,12.397733778780669,321,32,0.0,0.0,0.0,0.0,0.0,0
DL,3727,MCO,MSP,8,10,2,2117,54,10.72029425175759,10.72029425175759,2570,217,0.0,0.0,0.0,0.0,0.0,0
UA,9200,MIA,ORD,4,11,6,1789,1859,0.0,0.0,230,30,0.0,0.0,0.0,0.0,0.0,0
HA,4559,SEA,EWR,9,15,5,1230,1313,13.009421695565248,20.54535045218423,406,43,0.0,0.0,0.0,0.0,7.5359287566189845,1
WN,9757,SFO,SEA,9,5,5,1857,2012,43.47148680164585,43.47148680164585,675,75,0.0,0.0,0.0,0.0,0.0,1
DL,8073,MIA,ORD,4,14,7,865,935,25.44619629945442,25.44619629945442,370,30,0.0,0.0,0.0,0.0,0.0,1
HA,3278,MCO,LAS,11,11,3,1537,1834,1.2277043621160644,1.2277043621160644,1526,177,0.0,0.0,0.0,0.0,0.0,0
B6,5530,LAS,EWR,10,24,5,753,903,5.636689827042932,5.636689827042932,574,70,0.0,0.0,0.0,0.0,0.0,0
HA,8660,JFK,MIA,8,4,1,1095,1515,12.393288192217575,12.393288192217575,2159,220,0.0,0.0,0.0,0.0,0.0,0
HA,8079,MSP,MIA,11,8,6,166,517,9.3689023011493,22.203756433393878,2038,191,12.834854132244576,0.0,0.0,0.0,0.0,1
NK,4881,DTW,LGA,9,28,6,1615,1916,1.4403436393450768,1.4403436393450768,2019,181,0.0,0.0,0.0,0.0,0.0,0
AA,458,MSP,CLT,9,13,7,18,416,0.0,0.0,2568,238,0.0,0.0,0.0,0.0,0.0,0
HA,7729,PHL,MSP,2,23,2,794,904,33.784810079120405,33.784810079120405,204,30,0.0,0.0,0.0,0.0,0.0,1
US,273,MSP,DTW,3,28,5,979,1232,24.959119038443106,24.959119038443106,1783,133,0.0,0.0,0.0,0.0,0.0,1
F9,5918,ORD,ORD,10,6,6,1989,2256,0.0,0.0,1318,147,0.0,0.0,0.0,0.0,0.0,0
UA,8544,DFW,MCO,4,11,4,1979,2327,13.249443198008024,13.249443198008024,1715,188,0.0,0.0,0.0,0.0,0.0,0
US,5388,BOS,JFK,11,24,1,1220,1508,13.072734151028289,13.072734151028289,1573,168,0.0,0.0,0.0,0.0,0.0,0
NK,4523,PHL,ORD,1,25,2,495,753,2.0046551434768567,23.895743099681788,1428,138,0.0,0.0,21.89108795620493,0.0,0.0,1
WN,4949,ATL,LGA,4,28,1,238,336,14.499743186581792,14.504262293787434,477,58,0.004519107205642747,0.0,0.0,0.0,0.0,0
F9,5563,PHX,BOS,8,24,7,55,433,16.534068119093003,16.534068119093003,2019,218,0.0,0.0,0.0,0.0,0.0,1
