airline,origin,destination,month,day_of_week,distance,scheduled_departure_hour,temperature,humidity,weather_condition,arrival_delay,is_delayed,flight_date
F9,DEN,DEN,11,7,1787,7,37.27335565294791,58.39962780424509,Snow,0.0,0,2025-11-15 01:06:50.303915
NK,SEA,SFO,9,1,386,17,11.48047924812525,55.18879876214362,Storm,56.077847546245565,1,2025-03-16 01:06:50.303915
HA,ORD,LAS,10,1,1190,21,37.00331822743915,34.886387109738294,Clear,85.4353338530525,1,2025-07-09 01:06:50.303915
SW,ATL,JFK,6,2,1929,21,8.971186273889007,47.88405325007739,Storm,0.0,0,2026-01-13 01:06:50.303915
NK,SFO,ATL,5,1,425,15,16.30566069690315,72.03536143962293,Cloudy,0.0,0,2025-07-19 01:06:50.303915
HA,SFO,MCO,1,3,1067,0,-1.9165505034536032,44.642103375817285,Clear,18.312088854760745,1,2025-12-02 01:06:50.303915
AA,LAX,DFW,9,7,334,15,-8.10757787491397,64.61551891698787,Clear,0.0,0,2025-05-22 01:06:50.303915
F9,JFK,ORD,8,4,705,3,2.833057913291441,44.63549446444598,Cloudy,46.54959908294071,1,2025-08-13 01:06:50.303915
WN,LAX,LAX,1,3,2271,10,11.647809147050236,68.03861813144569,Clear,45.51332967846608,1,2025-06-11 01:06:50.303915
F9,LAX,MCO,1,7,1936,8,37.94979929959485,58.002216986461775,Clear,0.0,0,2025-10-31 01:06:50.303915
NK,SEA,MCO,6,4,188,15,15.803779739788023,80.81258520879196,Rain,0.0,0,2025-05-23 01:06:50.303915
NK,SEA,DFW,6,3,299,2,11.97403839067606,30.89433690308437,Storm,0.0,0,2025-04-01 01:06:50.303915
WN,MCO,LAX,12,3,1909,6,8.127125886385155,89.39327512150831,Clear,0.0,0,2025-09-15 01:06:50.303915
NK,LAX,SFO,7,2,1521,13,25.407698152369413,29.319714478184828,Storm,29.603217778784728,1,2026-01-17 01:06:50.303915
AA,DEN,SEA,4,5,137,17,26.65977090005964,74.09965425534682,Rain,0.0,0,2025-04-22 01:06:50.303915
DL,ORD,LAS,10,7,307,20,24.03572367236397,80.77480009860474,Storm,0.0,0,2026-01-19 01:06:50.303915
HA,LAS,DFW,10,7,755,15,-4.950972041021803,77.57291072238942,Clear,0.0,0,2025-07-21 01:06:50.303915
B6,MCO,LAX,12,6,1867,21,3.7459319910052162,24.720695908708073,Storm,26.955176685372045,1,2025-07-24 01:06:50.303915
SW,LAS,SFO,3,7,382,9,25.697466080364173,28.18510510369984,Cloudy,0.0,0,2025-10-19 01:06:50.303915
SW,JFK,DEN,5,4,1388,1,32.348624924013905,83.58697213062023,Storm,10.431923457403176,0,2025-12-19 01:06:50.303915
UA,MCO,ORD,10,7,2180,20,12.97224023546216,34.43122279733646,Clear,0.0,0,2025-07-02 01:06:50.303915
F9,ORD,LAX,10,7,1361,1,31.76940187404393,87.29558872928926,Clear,0.0,0,2026-02-22 01:06:50.303915
HA,DEN,JFK,7,5,638,3,38.48773540748566,24.194526882548093,Cloudy,0.0,0,2025-09-22 01:06:50.303915
B6,SFO,ATL,7,2,1247,12,26.778503050665037,67.51067239045852,Cloudy,0.0,0,2025-03-22 01:06:50.303915
AS,DEN,JFK,6,5,460,0,11.194755194659948,63.80892003438235,Rain,0.0,0,2025-06-12 01:06:50.303915
WN,ORD,LAX,8,2,939,7,22.991398367870417,29.03465362061931,Storm,0.0,0,2025-05-25 01:06:50.303915
HA,SEA,SEA,10,2,1223,7,6.363597979770372,89.03183964033376,Cloudy,0.0,0,2026-01-23 01:06:50.303915
HA,ATL,DEN,11,2,1329,19,6.527917068636832,66.45439685112765,Rain,13.228382969204029,0,2025-04-25 01:06:50.303915
AS,DEN,MCO,4,5,1261,4,10.218610189132711,43.09918458928331,Rain,24.07519898916887,1,2025-04-01 01:06:50.303915
B6,SEA,SFO,4,7,417,5,-5.823852435688139,56.21446989828377,Clear,0.0,0,2025-11-28 01:06:50.303915
WN,ORD,JFK,3,3,588,2,10.560876794622086,34.30039857440178,Rain,0.0,0,2025-09-04 01:06:50.303915
AA,DEN,DFW,6,5,2190,7,3.2716562020771587,63.05583884967884,Rain,0.0,0,2025-04-17 01:06:50.303915
B6,LAX,DEN,5,6,2054,7,10.61546338660306,50.56347391082572,Snow,67.2188998681579,1,2025-11-17 01:06:50.303915
NK,LAX,LAX,5,3,1208,18,-5.35288065604427,35.66633479990644,Clear,0.0,0,2026-02-26 01:06:50.303915
F9,MCO,LAS,10,3,444,8,14.740336867480334,73.7757899765992,Clear,0.0,0,2026-02-13 01:06:50.303915
UA,JFK,DEN,1,7,1887,4,34.0305151439001,51.23347957838206,Snow,26.89455315236211,1,2025-03-14 01:06:50.303915
F9,ATL,DEN,10,2,830,4,35.33585129670388,45.780427916910455,Cloudy,0.0,0,2025-05-07 01:06:50.303915
SW,DEN,LAX,3,7,570,20,31.883521438117114,74.68349212462047,Clear,0.0,0,2025-06-26 01:06:50.303915
AS,MCO,LAS,10,7,559,8,16.234944521296473,28.306542930787614,Snow,0.0,0,2025-12-15 01:06:50.303915
UA,SFO,ORD,10,7,100,18,-8.40333788735297,56.9521285722429,Snow,51.90265212161249,1,2025-05-28 01:06:50.303915
WN,JFK,ATL,8,2,254,23,33.764771003743995,42.12568889738063,Rain,0.0,0,2025-04-25 01:06:50.303915
B6,SFO,DEN,7,2,1331,21,21.57910397486577,75.39661974178284,Snow,0.0,0,2025-07-21 01:06:50.303915
WN,SEA,SEA,11,5,2276,5,27.001526199996214,69.2489762368383,Snow,10.262000895457442,0,2025-05-19 01:06:50.303915
B6,JFK,LAX,1,1,224,8,-9.271978070550693,36.611174907479494,Cloudy,41.47197892098984,1,2025-04-26 01:06:50.303915
DL,ORD,LAX,1,2,221,8,10.326519105523488,55.300384157968224,Storm,0.0,0,2025-10-17 01:06:50.303915
AS,SFO,SFO,11,3,1005,10,0.06109632561333811,56.240274178432,Cloudy,0.0,0,2026-02-26 01:06:50.303915
SW,SEA,LAX,7,5,1711,15,34.1661840814797,36.5426108952778,Clear,0.0,0,2025-09-12 01:06:50.303915
